ImageId,Feature_LBP_1,Feature_LBP_2,Feature_LBP_3,Feature_LBP_4,Feature_LBP_5,Feature_LBP_6,Feature_LBP_7,Feature_LBP_8,Feature_LBP_9,Feature_LBP_10,Classe
Foto_63,-0.8103208752053355,-0.5923377140229309,-0.8845165517388017,-0.23884068679783763,-0.4807773082999494,1.3096604471847906,-0.2966225715801954,-0.21742269024456198,2.452220487615613,-0.24104253691079125,Freeflowing
Foto_64,-0.6524879473459487,-0.5473098407842221,-0.6685068655363804,-0.2801680015006758,-0.46381003069577437,1.0247503401917353,-0.37800810062786333,-0.31460387952681335,2.6636679222379374,-0.383523596411994,Freeflowing
Foto_65,-0.65153882016658,-0.5433309978164306,-0.6480058732669101,-0.2645452520796496,-0.4990785731885127,1.0810545747844102,-0.36804247856357236,-0.33579301455632815,2.637725331808243,-0.40844489695467046,Freeflowing
Foto_66,-0.8913526599136281,-0.6136794633873053,-0.9631092202662942,-0.21097476284710864,-0.4418079105926505,1.452445563743213,-0.26335181419941966,-0.1853100076844763,2.324897590554564,-0.20775731540689524,Freeflowing
Foto_67,-0.7504859102089979,-0.5449645560577668,-0.9449083457934025,-0.35253227138879295,-0.5285075388724728,1.251376277916568,-0.3749597413203799,-0.16423337708263724,2.4710326120118062,-0.06181714920392319,Freeflowing
Foto_68,-0.45690727034146084,-0.060296539199449724,-1.6908276492865093,-0.759670536042581,-0.6374675985873858,0.7129846234099969,-0.5050201035012157,0.32899665077757945,1.1059365839695177,1.962271838801507,Freeflowing
Foto_69,-0.8240195340079307,-0.5408148517907315,-0.9076400632265887,-0.3141921664369061,-0.5024304502727397,1.3132033136608339,-0.29341596446363605,-0.22534074948738939,2.44336976142666,-0.14871929540157075,Freeflowing
Foto_70,-0.7944285253050274,-0.5497007042726016,-1.1185556664635958,-0.3644040787577178,-0.5320984712053043,1.2939912560343267,-0.37102857507336745,-0.07955073718478624,2.357128279034431,0.15864722319364205,Freeflowing
Foto_71,-0.8877833073489572,-0.6644899461073196,-1.0912955545773122,-0.06673750518193003,-0.4884466694301601,1.4907012968245394,-0.3491150672317998,-0.04479688090518889,2.2302039914433633,-0.12824035748523616,Freeflowing
Foto_72,-0.6676435830586457,-0.5454475148604896,-0.7208717224260757,-0.3014276032149988,-0.49275112513708985,1.0393259492429237,-0.3710336316185611,-0.2778710939844578,2.6480281473276985,-0.3103078222703043,Freeflowing
Foto_73,-0.6621216451522687,-0.549284351862121,-0.8077142026367891,-0.3411812808403023,-0.5443251436383001,1.2147243807888475,-0.38299781438190333,-0.2603645542298872,2.5418942161933678,-0.20862960424064422,Freeflowing
Foto_74,-0.7603668197916021,-0.5668135005931045,-0.8398031169601546,-0.274320012888735,-0.5258682872558181,1.3186037835847197,-0.33121706801515344,-0.24848707072009993,2.4651989217395833,-0.23692682909963578,Freeflowing
Foto_75,-0.6848706677020294,-0.5553887482411153,-0.7915306598059056,-0.31700011843910353,-0.49070691267479566,1.1430711149340809,-0.3822140714826599,-0.25397375946863127,2.583513125813647,-0.2508993029334862,Freeflowing
Foto_76,-0.8108476174238269,-0.534093490986931,-1.0819755709128287,-0.3947787322771674,-0.5310571436817183,1.3213826254956071,-0.32413900526471673,-0.13034860372613521,2.3589203605533213,0.12693717822439626,Freeflowing
Foto_77,-0.742144041004846,-0.5798950997740383,-0.8575752073918613,-0.2985275162191516,-0.5043018430642303,1.2756296221995524,-0.3357973622973322,-0.2245804541241042,2.4888750532781367,-0.22168315160212548,Freeflowing
Foto_78,-0.6632566399825475,-0.5578725765513389,-0.7300829710964493,-0.2853696485646506,-0.524936741930916,1.1762176790836862,-0.36869041537412656,-0.29433286281722953,2.5776613087295113,-0.32933713149593996,Freeflowing
Foto_79,-0.5958033872030861,-0.1736208574874329,-1.6625315751496765,-0.7305533936535922,-0.6559199933761889,0.9803788808979518,-0.47625331810884763,0.2758874023069039,1.4606285870308067,1.5777876547431602,Freeflowing
Foto_80,-0.8048283540280324,-0.5664957850684791,-0.9799536916513536,-0.30945824012779677,-0.5243316517110173,1.327928594820292,-0.3042364343330648,-0.1629359282756188,2.4104790797281384,-0.08616758935306805,Freeflowing
Foto_81,-0.7576810869257755,-0.5850080582361331,-0.8639971148837522,-0.2610568671641808,-0.49034400362091923,1.308668016215356,-0.343608135931551,-0.2214269917272137,2.4668215021996795,-0.2523672599255104,Freeflowing
Foto_82,-0.676991170142581,-0.5480467047862159,-0.7341543679824586,-0.2864487116182263,-0.47855632878621196,1.0561773521495097,-0.3697935267893456,-0.26670340854758157,2.637601583992612,-0.3330847174895005,Freeflowing
Foto_83,-0.6613574897905636,-0.5381836480136912,-0.7591720112016094,-0.31425179228331107,-0.5489387169188409,1.1345692004919872,-0.37436696690051624,-0.2717409672950615,2.593749022791719,-0.26030663088011285,Freeflowing
Foto_84,-0.8008909398984516,-0.5801992547130038,-1.011158811171081,-0.3171608255067323,-0.506825377092307,1.3112343541863345,-0.31227466273509885,-0.15396298893417257,2.408340768510449,-0.03710226264593728,Freeflowing
Foto_85,-0.9204509210201987,-0.6793576387939623,-0.9124699020223647,0.01665372630881373,-0.42316692896348995,1.5852565018414437,-0.27392187370399357,-0.15094767264570091,2.2063127968562286,-0.44790808785677544,Freeflowing
Foto_86,-0.6534196197264307,-0.5452908760241514,-0.6528250031155467,-0.27272776954281347,-0.47027770357417753,1.0276072789817636,-0.3770601148832954,-0.3222181674640767,2.6634890550020773,-0.3972770796533493,Freeflowing
Foto_87,-0.9824892650010675,-0.6962675441704443,-0.994956272804942,-0.007391154626582962,-0.3186210994447403,1.6519082173653097,-0.25324351685418317,-0.11202497012338827,2.118604717832976,-0.4055191121729383,Freeflowing
Foto_88,-0.6597072170645362,-0.5573235059141696,-0.7058405888872309,-0.29109550602070144,-0.5213071015964517,1.194783511435261,-0.37026077674714597,-0.3223063507735553,2.5721580524003467,-0.339100516831817,Freeflowing
Foto_89,-0.9927319645897302,-0.6794822078987074,-1.0785118490625776,-0.04072842530625481,-0.39099628690371474,1.6826132814989354,-0.24837020914925828,-0.08259717844181114,2.0685376625350096,-0.23773282268189128,Freeflowing
Foto_90,-0.688892862175032,-0.5513411038096706,-0.8003488082263975,-0.3264171514117015,-0.5000640520431507,1.105255205936282,-0.3655608698826954,-0.25386103773493734,2.599423375484839,-0.21819269613753647,Freeflowing
Foto_91,-0.6632461330607833,-0.5584757523477456,-0.6654932189741997,-0.2633584690523972,-0.5069800334986208,1.1853565450430739,-0.36536680666352733,-0.3448153334137402,2.581171411593535,-0.3987922096255956,Freeflowing
Foto_92,-0.9283187418302834,-0.6878044541781907,-0.9700406080556463,0.014248955697035636,-0.4300383913913889,1.5961428974424177,-0.2846615080386534,-0.09352050152522562,2.178516628768073,-0.39452427688813874,Freeflowing
Foto_93,-1.032669285774976,-0.661795162346922,-1.2115494569090595,-0.12126149516283007,-0.33015993098321744,1.7020663431380196,-0.278319514835539,-0.013585057670320443,1.9819636097693574,-0.03469004922451359,Freeflowing
